product_id,product_name,category,subcategory,brand,unit_size,mrp,cost_price,perishable_flag,temperature_zone,shelf_life_days,supplier_id,active_flag
PRD0001,GoodGrain Rice 001,Staples,Rice,DailyNest,Pack of 4,32.47,25.13,N,Ambient,432,SUP014,Y
PRD0002,HomeEase Baby Hygiene 002,Baby Care,Baby Hygiene,HomeEase,500 g,430.31,307.5,N,Ambient,421,SUP008,Y
PRD0003,FreshBasket Juices 003,Snacks & Beverages,Juices,DailyNest,1 kg,18.3,10.42,N,Ambient,303,SUP048,Y
PRD0004,FreshBasket Skin Care 004,Personal Care,Skin Care,HappyPaws,500 g,538.11,352.7,N,Ambient,773,SUP025,Y
PRD0005,CareBloom Biscuits 005,Snacks & Beverages,Biscuits,SnackSquare,Pack of 2,60.34,37.57,N,Ambient,173,SUP009,Y
PRD0006,CareBloom Frozen Vegetables 006,Frozen Food,Frozen Vegetables,HappyPaws,500 g,98.39,56.07,Y,Frozen,30,SUP021,Y
PRD0007,PureDrop Pulses 007,Staples,Pulses,QuickChoice,1 kg,120.33,82.2,N,Ambient,381,SUP037,Y
PRD0008,GoodGrain Curd & Yogurt 008,Dairy & Breakfast,Curd & Yogurt,PrimePantry,1 L,83.99,63.67,Y,Chilled,11,SUP011,Y
PRD0009,FreshBasket Oral Care 009,Personal Care,Oral Care,FreshBasket,250 g,304.3,217.76,N,Ambient,410,SUP028,Y
PRD0010,HomeEase Laundry 010,Household Care,Laundry,QuickChoice,500 ml,373.49,298.83,N,Ambient,770,SUP021,Y
PRD0011,QuickChoice Milk 011,Dairy & Breakfast,Milk,DailyNest,Pack of 2,145.09,110.83,Y,Chilled,19,SUP038,Y
PRD0012,SnackSquare Fresh Fruits 012,Fruits & Vegetables,Fresh Fruits,FreshBasket,500 g,74.66,50.98,Y,Ambient,6,SUP007,Y
PRD0013,UrbanHarvest Breakfast Cereals 013,Dairy & Breakfast,Breakfast Cereals,HomeEase,1 unit,31.06,23.31,Y,Chilled,28,SUP017,Y
PRD0014,QuickChoice Oral Care 014,Personal Care,Oral Care,PureDrop,1 L,418.37,245.27,N,Ambient,808,SUP048,Y
PRD0015,DailyNest Rice 015,Staples,Rice,QuickChoice,1 unit,303.38,238.94,N,Ambient,371,SUP028,Y
PRD0016,SnackSquare Breakfast Cereals 016,Dairy & Breakfast,Breakfast Cereals,PureDrop,100 g,52.93,31.01,Y,Chilled,24,SUP048,Y
PRD0017,HomeEase Paper & Disposables 017,Household Care,Paper & Disposables,CareBloom,Pack of 2,62.89,41.51,N,Ambient,507,SUP011,Y
PRD0018,CareBloom Tea & Coffee 018,Snacks & Beverages,Tea & Coffee,SnackSquare,1 L,422.23,345.97,N,Ambient,63,SUP022,Y
PRD0019,SnackSquare Oral Care 019,Personal Care,Oral Care,FreshBasket,Pack of 2,666.09,415.2,N,Ambient,368,SUP035,Y
PRD0020,HomeEase Fresh Vegetables 020,Fruits & Vegetables,Fresh Vegetables,SnackSquare,1 unit,54.64,34.65,Y,Ambient,5,SUP046,Y
PRD0021,FreshBasket Leafy Vegetables 021,Fruits & Vegetables,Leafy Vegetables,HappyPaws,200 g,21.28,15.34,Y,Ambient,6,SUP045,Y
PRD0022,CareBloom Pulses 022,Staples,Pulses,DailyNest,500 g,506.1,300.92,N,Ambient,270,SUP049,Y
PRD0023,NovaHome Ice Cream 023,Frozen Food,Ice Cream,QuickChoice,1 L,122.84,74.63,Y,Frozen,97,SUP004,Y
PRD0024,HomeEase Pulses 024,Staples,Pulses,NovaHome,200 g,306.7,228.8,N,Ambient,515,SUP035,Y
PRD0025,GoodGrain Fresh Vegetables 025,Fruits & Vegetables,Fresh Vegetables,HomeEase,1 unit,51.51,36.03,Y,Ambient,2,SUP021,Y
PRD0026,NovaHome Bread 026,Dairy & Breakfast,Bread,HappyPaws,250 g,28.66,20.08,Y,Chilled,14,SUP011,Y
PRD0027,HomeEase Fresh Vegetables 027,Fruits & Vegetables,Fresh Vegetables,PrimePantry,1 L,175.14,125.57,Y,Ambient,2,SUP037,Y
